20250621_184654,89b8dcbf9be3,spark-worker-4,0.06%,276.5MiB / 10GiB,2.70%,766kB / 579kB,0B / 0B,36
20250621_184654,e89cbf4842ec,spark-worker-5,0.06%,302.2MiB / 10GiB,2.95%,664kB / 465kB,0B / 0B,36
20250621_184654,a1bc8825008f,spark-worker-2,0.09%,307.5MiB / 10GiB,3.00%,748kB / 477kB,0B / 0B,36
20250621_184654,7565f13518b7,spark-worker-1,0.05%,305.8MiB / 10GiB,2.99%,712kB / 373kB,0B / 0B,36
20250621_184654,a255b20ab36b,spark-worker-3,0.06%,297.8MiB / 10GiB,2.91%,874kB / 836kB,0B / 0B,36
20250621_184654,b876057eb262,spark-master,0.06%,380.9MiB / 4GiB,9.30%,1.84MB / 2.86MB,0B / 0B,38
20250621_184702,89b8dcbf9be3,spark-worker-4,0.13%,276.5MiB / 10GiB,2.70%,766kB / 579kB,0B / 0B,36
20250621_184702,e89cbf4842ec,spark-worker-5,0.14%,302.2MiB / 10GiB,2.95%,664kB / 465kB,0B / 0B,36
20250621_184702,a1bc8825008f,spark-worker-2,0.07%,307.5MiB / 10GiB,3.00%,748kB / 477kB,0B / 0B,36
20250621_184702,7565f13518b7,spark-worker-1,0.12%,305.8MiB / 10GiB,2.99%,712kB / 373kB,0B / 0B,36
20250621_184702,a255b20ab36b,spark-worker-3,0.12%,297.8MiB / 10GiB,2.91%,874kB / 836kB,0B / 0B,36
20250621_184702,b876057eb262,spark-master,0.12%,380.9MiB / 4GiB,9.30%,1.84MB / 2.86MB,0B / 0B,38
20250621_184709,89b8dcbf9be3,spark-worker-4,0.05%,276.5MiB / 10GiB,2.70%,766kB / 581kB,0B / 0B,36
20250621_184709,e89cbf4842ec,spark-worker-5,0.06%,302.2MiB / 10GiB,2.95%,664kB / 466kB,0B / 0B,36
20250621_184709,a1bc8825008f,spark-worker-2,0.06%,307.5MiB / 10GiB,3.00%,748kB / 478kB,0B / 0B,36
20250621_184709,7565f13518b7,spark-worker-1,0.05%,305.8MiB / 10GiB,2.99%,712kB / 375kB,0B / 0B,36
20250621_184709,a255b20ab36b,spark-worker-3,0.06%,297.8MiB / 10GiB,2.91%,874kB / 837kB,0B / 0B,36
20250621_184709,b876057eb262,spark-master,0.05%,380.9MiB / 4GiB,9.30%,1.85MB / 2.86MB,0B / 0B,38
20250621_184717,89b8dcbf9be3,spark-worker-4,0.13%,276.5MiB / 10GiB,2.70%,766kB / 581kB,0B / 0B,36
20250621_184717,e89cbf4842ec,spark-worker-5,0.14%,302.2MiB / 10GiB,2.95%,664kB / 466kB,0B / 0B,36
20250621_184717,a1bc8825008f,spark-worker-2,0.14%,307.5MiB / 10GiB,3.00%,748kB / 478kB,0B / 0B,36
20250621_184717,7565f13518b7,spark-worker-1,0.11%,305.8MiB / 10GiB,2.99%,712kB / 375kB,0B / 0B,36
20250621_184717,a255b20ab36b,spark-worker-3,0.11%,297.8MiB / 10GiB,2.91%,874kB / 837kB,0B / 0B,36
20250621_184717,b876057eb262,spark-master,0.11%,380.9MiB / 4GiB,9.30%,1.85MB / 2.86MB,0B / 0B,38
20250621_184724,89b8dcbf9be3,spark-worker-4,0.12%,276.5MiB / 10GiB,2.70%,766kB / 582kB,0B / 0B,36
20250621_184724,e89cbf4842ec,spark-worker-5,0.10%,302.3MiB / 10GiB,2.95%,664kB / 467kB,0B / 0B,36
20250621_184724,a1bc8825008f,spark-worker-2,0.11%,307.4MiB / 10GiB,3.00%,748kB / 479kB,0B / 0B,36
20250621_184724,7565f13518b7,spark-worker-1,0.10%,306MiB / 10GiB,2.99%,712kB / 376kB,0B / 0B,36
20250621_184724,a255b20ab36b,spark-worker-3,0.10%,297.7MiB / 10GiB,2.91%,874kB / 838kB,0B / 0B,36
20250621_184724,b876057eb262,spark-master,0.20%,380.9MiB / 4GiB,9.30%,1.85MB / 2.86MB,0B / 0B,38
20250621_184732,89b8dcbf9be3,spark-worker-4,0.09%,276.5MiB / 10GiB,2.70%,766kB / 582kB,0B / 0B,36
20250621_184732,e89cbf4842ec,spark-worker-5,0.09%,302.3MiB / 10GiB,2.95%,664kB / 467kB,0B / 0B,36
